City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,251,0.47,319.53,109.17,11402.5,113.38,5.39
天津市,Tianjin,TJ,117.2,39.13333,261,0.34,429.79,141.9,6721.44,66.96,31.41
河北省,Hebei,HE,115.48333,38.03333,4224,8.12,8713.93,2780.6,48743.01,1428.85,87.14
山西省,Shanxi,SX,112.53333,37.86667,1923,2.3,3471.3,1024.5,3292.34,353.75,2.84
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1240,1.61,6590.03,1806.84,9191.67,220.48,8.7
辽宁省,Liaoning,LN,123.38333,41.8,1752,4.69,3627.21,1797.0,55341.16,478.41,351.33
吉林省,Jilin,JL,125.35,43.88333,1281,3.45,4815.21,2725.8,43831.7,223.83,13.08
黑龙江省,Heilongjiang,HL,127.63333,47.75,1778,5.79,11678.34,3843.5,13119.19,413.76,33.09
上海市,Shanghai,SH,121.55333,31.2,222,0.83,401.44,111.3,4743.14,108.26,33.5
江苏省,Jiangsu,JS,119.78333,32.05,3682,9.86,7385.15,3096.03,63252.3,628.45,398.55
浙江省,Zhejiang,ZJ,120.2,30.26667,2206,6.62,2511.37,769.51,21232.75,650.03,418.01
安徽省,Anhui,AH,117.283042,31.86119,3843,9.54,8790.01,2853.71,53749.7,733.59,156.52
福建省,Fujian,FJ,118.3,26.08333,1778,5.65,2236.35,632.9,17040.42,570.77,523.59
江西省,Jiangxi,JX,115.9,28.68333,2661,7.6,5280.92,1896.52,33989.69,316.88,166.28
山东省,Shandong,SD,117.000923,36.675807,5017,17.13,10754.12,4092.97,151090.9,2513.4,683.75
河南省,Henan,HA,113.65,34.76667,6342,11.16,13995.53,5112.3,66828.73,2005.6,40.98
湖北省,Hubei,HB,114.298572,30.584355,3199,13.17,6900.59,2099.1,36054.96,625.25,282.44
湖南省,Hunan,HN,113.0,28.21667,3887,11.12,7289.73,2654.2,32867.76,586.24,160.04
广东省,Guangdong,GD,113.23333,23.16667,3494,9.31,4382.52,1242.42,93029.0,1001.08,658.84
广西壮族自治区,Guangxi,GX,108.320004,22.82402,3084,5.46,5557.26,1427.58,60123.0,772.26,236.36
海南省,Hainan,HI,110.35,20.01667,451,2.15,699.41,161.9,9477.41,247.23,120.01
重庆市,Chongqing,CQ,106.45,29.56667,1497,1.96,3073.88,808.4,12328.17,145.74,16.4
四川省,Sichuan,SC,104.06667,30.66667,5367,5.83,9341.91,2859.7,47509.31,535.32,81.3
贵州省,Guizhou,GZ,106.71667,26.56667,2677,1.06,4449.43,1038.0,7085.6,109.19,6.71
云南省,Yunnan,YN,102.73333,25.05,3116,3.29,5776.18,1457.6,13837.05,201.86,20.72
西藏自治区,Tibet,XZ,91.0,30.6,225,0.09,233.01,92.37,114.11,0.89,0.05
陕西省,Shaanxi,SN,108.95,34.26667,2252,1.01,3983.47,1041.9,4916.98,1053.17,4.82
甘肃省,Gansu,GS,103.73333,36.03333,1755,2.17,3658.74,808.05,3326.9,332.77,1.05
青海省,Qinghai,QH,96.75,36.56667,333,0.19,517.22,99.7,188.78,2.37,0.18
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,344,0.19,1109.3,322.4,1239.25,114.25,6.16
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1272,1.56,4176.59,896.36,4879.36,547.94,8.31
