city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
北京,Bei_jing,北京市,Beijing,116.413384,39.910925,81.659,111.511,13.134,50.125,101.02,115.84,111.505
天津,Tian_jin,天津市,Tianjin,117.209523,39.093668,70.095,120.256,29.648,42.213,76.873,91.542,102.484
石家庄,Shi_jia_zhuang,河北省,Hebei,114.521532,38.048312,89.395,148.043,47.784,50.147,81.069,98.706,122.202
唐山,Tang_shan,河北省,Hebei,118.186459,39.636584,85.386,140.415,48.908,58.507,95.398,113.876,119.587
秦皇岛,Qin_huang_dao,河北省,Hebei,119.608531,39.941748,47.516,98.643,38.101,45.476,65.749,75.346,79.375
邯郸,Han_dan,河北省,Hebei,114.545628,36.631263,91.13,167.628,45.507,47.104,81.043,95.718,128.545
保定,Bao_ding,河北省,Hebei,115.471464,38.879988,107.133,174.954,55.17,53.931,100.329,115.767,142.458
张家口,Zhang_jia_kou,河北省,Hebei,114.892572,40.773237,34.121,83.124,34.297,26.539,98.622,109.767,68.115
承德,Cheng_de,河北省,Hebei,117.969398,40.957856,42.911,91.444,22.939,34.991,102.764,117.715,74.841
廊坊,Lang_fang,河北省,Hebei,116.690582,39.543367,85.471,137.835,23.257,48.41,90.656,104.306,119.738
沧州,Cang_zhou,河北省,Hebei,116.845581,38.310215,70.159,120.983,39.764,40.994,93.908,107.156,101.964
衡水,Heng_shui,河北省,Hebei,115.675406,37.745191,97.19,179.836,36.0,43.888,105.608,120.231,138.908
邢台,Xing_tai,河北省,Hebei,114.511462,37.076686,101.478,173.04,61.023,59.888,79.951,94.847,137.287
太原,Tai_yuan,山西省,Shanxi,112.556391,37.876989,61.205,111.53,71.582,37.147,72.746,85.957,92.446
呼和浩特,Hu_he_hao_te,内蒙古自治区,Inner_Mongoria,111.755509,40.848423,42.239,100.242,31.703,37.801,82.807,96.862,80.178
沈阳,Shen_yang,辽宁省,Liaoning,123.466452,41.68879,71.501,112.507,63.686,46.501,87.937,101.055,99.841
大连,Da_lian,辽宁省,Liaoning,121.621631,38.918954,48.133,80.879,29.795,32.922,101.507,113.323,74.024
长春,Chang_chun,吉林省,Jilin,125.330602,43.821954,64.911,101.767,35.775,44.798,93.167,106.38,94.842
哈尔滨,Ha_er_bin,黑龙江省,Heilongjiang,126.541615,45.808826,70.487,102.363,39.7,50.366,63.919,74.749,97.57
上海,Shang_hai,上海市,Shanghai,121.480539,31.235929,53.285,73.069,16.741,46.51,107.383,124.17,75.987
