City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,27041.2,2195,4452.97,52530,9773,119.35,43.8
天津市,Tianjin,TJ,117.2,39.13333,11477.2,1443,1624.22,34074,5443,53.65,12.1
河北省,Hebei,HE,115.48333,38.03333,28474.1,7375,1996.12,19725,78795,142.04,26.8
山西省,Shanxi,SX,112.53333,37.86667,11946.4,3514,1036.67,19049,42204,79.42,20.5
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,13789.3,2436,1335.88,24127,24002,76.25,22.1
辽宁省,Liaoning,LN,123.38333,41.8,20392.5,4327,1687.45,26040,36131,92.07,39.2
吉林省,Jilin,JL,125.35,43.88333,10427.0,2567,872.97,19967,20829,64.4,41.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,11895.0,3463,827.85,19838,20375,73.37,43.8
上海市,Shanghai,SH,121.55333,31.2,29887.0,2467,5625.9,54305,5016,112.19,14.0
江苏省,Jiangsu,JS,119.78333,32.05,77350.9,8381,6531.83,32070,32117,240.21,15.2
浙江省,Zhejiang,ZJ,120.2,30.26667,47254.0,6072,4540.09,38529,31546,189.08,59.4
安徽省,Anhui,AH,117.283042,31.86119,26307.7,6033,1857.53,19998,24385,123.58,28.7
福建省,Fujian,FJ,118.3,26.08333,29609.4,4016,1962.72,27608,27656,104.74,66.8
江西省,Jiangxi,JX,115.9,28.68333,18388.6,4496,1471.1,20110,38272,104.69,61.2
山东省,Shandong,SD,117.000923,36.675807,58762.5,9973,4212.59,24685,76997,224.23,17.5
河南省,Henan,HA,113.65,34.76667,40249.3,9778,2158.44,18443,71271,189.03,24.1
湖北省,Hubei,HB,114.298572,30.584355,33353.0,5885,2122.93,21787,36354,130.09,39.6
湖南省,Hunan,HN,113.0,28.21667,30853.5,6625,1551.33,21115,61055,137.82,49.7
广东省,Guangdong,GD,113.23333,23.16667,82163.2,11908,8098.63,30296,49079,336.75,53.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,16116.6,4857,1036.22,18305,34253,109.14,60.2
海南省,Hainan,HI,110.35,20.01667,4090.2,957,504.96,20653,5144,30.69,57.4
重庆市,Chongqing,CQ,106.45,29.56667,18023.0,3110,1438.45,22034,19933,88.63,43.1
四川省,Sichuan,SC,104.06667,30.66667,33138.5,8251,2329.23,18808,79513,176.21,38.0
贵州省,Guizhou,GZ,106.71667,26.56667,11792.4,3758,1120.44,15121,28017,103.35,43.8
云南省,Yunnan,YN,102.73333,25.05,16369.0,4677,1173.52,16720,24234,118.86,55.0
西藏自治区,Tibet,XZ,91.0,30.6,1173.0,340,99.05,13639,6835,18.58,12.1
陕西省,Shaanxi,SN,108.95,34.26667,19045.8,3874,1204.39,18874,36598,100.49,43.1
甘肃省,Gansu,GS,103.73333,36.03333,6907.9,2520,526.0,14670,28197,67.06,11.3
青海省,Qinghai,QH,96.75,36.56667,2258.2,582,176.48,17302,6291,21.63,5.8
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,2781.4,695,246.55,18832,4254,20.73,12.6
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,9630.8,2428,869.18,18355,18825,78.24,4.9
